date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:08	254/254	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:10%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/ScratchApplet.class	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/ScratchApplet.15a.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:09	2980/2980	U-----	200	untouched ('OK')	text/html	etag:%22980671-ba4-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:09	254/254	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:11%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/ScratchApplet.class	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_9/ScratchApplet.15e.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:10	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%229801d6-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10905/extras/Experiments-Simulations/GeoGebra/kefa1_4_drastiriotita/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10905/extras/Experiments-Simulations/GeoGebra/kefa1_4_drastiriotita/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10905/extras/Experiments-Simulations/GeoGebra/kefa1_4_drastiriotita/index.html)
17:42:10	124045/124045	U-----	200	untouched ('OK')	application/octet-stream	etag:%22980642-1e48d-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/Scratch/kefa1_3_istoriki_anadromi_b/ScratchApplet.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/Scratch/kefa1_3_istoriki_anadromi_b/ScratchApplet.jar	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/Scratch/kefa1_3_istoriki_anadromi_b/trigonoi.html)
17:42:10	20153/20153	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:42:12%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10908/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10908/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10907/)
17:42:10	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%229801ea-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_drastiriotita/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_drastiriotita/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_drastiriotita/index.html)
17:42:11	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%229801de-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_efarmogi_1/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_efarmogi_1/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_efarmogi_1/index.html)
17:42:11	124045/124045	U-----	200	untouched ('OK')	application/octet-stream	etag:%2298065c-1e48d-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/ScratchApplet.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/ScratchApplet.jar	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/index.html)
17:42:11	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%22980658-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/index.html)
