date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:24	71452/71452	---M--	200	added ('OK')	image/jpeg	etag:%22980692-1171c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/images/espa-itye.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/images/espa-itye.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/index.html)
17:15:25	10647/10647	---M--	200	added ('OK')	image/png	etag:%22980289-2997-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/images/cc.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/images/cc.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/index.html)
17:15:29	26803/26803	---M--	200	added ('OK')	image/jpeg	etag:%22980290-68b3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/images/dsch-ypdbm.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/images/dsch-ypdbm.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/index.html)
17:15:31	10647/10647	---M--	200	added ('OK')	image/png	etag:%22980291-2997-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/images/cc.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/images/cc.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/index.html)
17:15:33	30653/30653	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:15:33%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:33	71452/71452	---M--	200	added ('OK')	image/jpeg	etag:%22980288-1171c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/images/espa-itye.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/images/espa-itye.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/index.html)
17:15:33	8539/8539	---M--	200	added ('OK')	text/css	etag:%229626cf-215b-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/style.css	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/style.css	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:34	2753/2753	---M--	200	added ('OK')	image/jpeg	etag:%22962bfa-ac1-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_activity_icon01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_activity_icon01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:35	284/284	---M--	200	added ('OK')	image/gif	etag:%22962c12-11c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_bullet_blue.gif	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_bullet_blue.gif	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:35	9926/9926	---M--	200	added ('OK')	text/html	etag:%22980299-26c6-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/extras/Experiments-Simulations/GeoGebra/kefa5_1_drastiriotita_2/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/extras/Experiments-Simulations/GeoGebra/kefa5_1_drastiriotita_2/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:36	3377/3377	---M--	200	added ('OK')	image/png	etag:%229626de-d31-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/experiment.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/experiment.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:36	4024/4024	---M--	200	added ('OK')	image/jpeg	etag:%22962c4f-fb8-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_figure_remember1.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_figure_remember1.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:36	833/833	---M--	200	added ('OK')	image/jpeg	etag:%229628db-341-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/imgA501-01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/imgA501-01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:37	983/983	---M--	200	added ('OK')	image/jpeg	etag:%229628e3-3d7-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/imgA501-02.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/imgA501-02.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:37	835/835	---M--	200	added ('OK')	image/jpeg	etag:%22962c2c-343-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_examp01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10931/images/tmpl_examp01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/)
17:15:37	71452/71452	---M--	200	added ('OK')	image/jpeg	etag:%2298028f-1171c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/images/espa-itye.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/images/espa-itye.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_askisi_2/index.html)
